,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,税费解析,周边配套,售房详情,权属抵押,交通出行,适宜人群,装修描述,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格,别墅类型
1788,户型方正，全明格局，视野采光无遮挡，配套齐全,248万,16784,钟楼区五星,星悦花都,4室2厅1厨2卫,中楼层 (共34层),147.76㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,毛坯,两梯三户,有,暂无数据,2022-08-22,商品房,2019-08-16,普通住宅,满两年,共有,有抵押,已上传房本照片,环境优美：小区安静优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调。交通便利：公交车方向众多，外部道路宽阔，交通十分便利。 生活便利：小区内有，合理分布便利店，生活用品及买菜十分便利，生活轻松。,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 楼层佳，朝向南北，视野开阔，采光透亮,首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,,,,,,042484788813,此房户型方正，全明格局，视野采光无遮挡，配套齐全，交通方便。,,,,
1789,新城香悦半岛别墅面宽16米上下二层挑高5.8米客厅精装,2166万,38783,钟楼区五星,新城香悦半岛东区,7室2厅2厨7卫,低楼层 (共2层),558.5㎡,,539.21㎡,,南,未知结构,精装,,,暂无数据,2023-11-23,商品房,2013-10-21,别墅,满五年,非共有,无抵押,已上传房本照片,新城香悦半岛别墅新城房产开发的户型和物业相当好面宽有16米院大,小区以纯别墅区为主。人文圈层高、以独幢为主。南边二排是多拼。北面全是类独幢。面宽多有16米左右房子独幢是上下二层和地下挑高5.8米。小区人车分流。绿.化率高,,,生活配套。有龙湖天街商.业街，大润发.勤业菜市场.2.医院有妇产医院，五星社区。口腔医院勤业社区医院中.心。公园有五星公园和青枫公园双公园环.绕.银行有中国银行。建设银行等,,,交能出行有公交218路有多条公交线路。地铁沿线。私架车上高架也很方便。绕过去就上了。,,,,,,,,暂无数据
1790,勤德家园4房2卫 采光佳 诚心出售 带产权车位,195万,13278,钟楼区五星,勤德家园,4室2厅1厨2卫,低楼层 (共11层),146.87㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-24,商品房,2006-03-20,普通住宅,暂无数据,共有,无抵押,已上传房本照片,户型方正，采光好，三开朝南户型,小区环境优美，舒适安静。适宜居住。出门即有公交，菜场，银行，美食，人文素质好,三南客厅宽敞大方，朝南。房子明亮通透，采光效果好，使用率高。三南二北装修地板好,客户契税，首套房，90平方以下成交价的百1，90平以上成交价1.5.2套房以上成交价的百3，增值税产证满二年免收增值税，末满二年征收百5.6，个税产证满五年而且是一套房免个税同样满五年成交价的百1,,,,,,,,,,,,
1791,龙湖天街旁蓝天新苑，看房方便，业主诚意出售。,110万,13158,钟楼区五星,蓝天新苑,2室1厅1厨1卫,低楼层 (共24层),83.6㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,两梯五户,有,暂无数据,2023-05-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,龙湖天街旁蓝天新苑，看房方便，业主诚意出售。,小区今年刚完成道路改造，小区绿化修正，垃圾处理升级，小区焕然一新。,南北朝向，粗放卫生间全明。原户型两房朝南两房朝北，南北通户型，现有所改动。,,,业主诚意出售，房子干干净净，看中还有来去，只要你诚意，价格我来谈。,,,,,,,,,,
1792,龙湖紫宸 四开间南大洋房 得房率高  采光视野好含车位,480万,26562,钟楼区五星,龙湖龙誉城紫宸,4室2厅1厨2卫,高楼层 (共11层),180.71㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯两户,有,暂无数据,2023-10-28,商品房,2018-08-24,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,本房的房源维护人就是我，熟知房源的一切信息，与业主关系融洽,次新龙湖小区，小区绿化覆盖高，24小时管家式服务，龙湖自持物业，认真负责 ，环境优美,,,,,,出门500米就是龙湖天街，2号线五星地铁站， 1KM左右可以上龙江路高架，小区旁边有菜场，买菜方便,本房的房源维护人就是我，熟知房源的一切信息，与业主关系融洽，看中房源可以帮助议价，小区人车分流，塑胶跑道，有4个房间，适合一家人居住，空间足够使用,,,,,,,
1793,该房屋户型好，装修精致，采光足，配套设施齐全。,175万,13404,钟楼区五星,都市桃源二期,4室2厅1厨2卫,中楼层 (共6层),130.56㎡,暂无数据,暂无数据,板楼,南,砖混结构,精装,暂无数据,暂无数据,暂无数据,2022-08-04,商品房,2019-09-24,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,该房户型好，装修精致，采光足，配套设施齐全，环境好。,都市桃源是钟楼勤业板块的小区，在2007年竣工，地理环境优越，小区绿化好。配套设施齐全，出门购物有天街和大润发，西边有美食街和小吃店，往东还有商铺圈，各种商品一应俱全。出门交通方便，有公交车站也有地铁二号线。,,首套房90平米以下的契税为成交价的百分之一，90平米以上为百分之一点五。二套房为成交价的百分之二。产证两年以上免增值税，未满两年为百分之五点六。个税是百分之一，产证满五唯一免个税。,,,,小区往西一公里有龙湖天街，地下就是地铁二号线。往勤业路这边也有二号线的站点，小区门口有几处公交站台，打车坐车都很方便。,,,,,,,,
1794,通江路旁成熟社区，精装修顶楼复式,169万,8676,钟楼区五星,万福花园,6室2厅1厨3卫,高楼层 (共6层),194.81㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,无,暂无数据,2023-03-12,商品房,2017-09-29,普通住宅,暂无数据,共有,无抵押,已上传房本照片,通江路旁，交通便捷，配套成熟！此房顶楼复式，装修保养很好,,,,,房主目前住在里面，看房提前联系，随时可看！房子保养很好！房东置换新房,房子全款无抵押，交易过户全程陪同！贝壳承诺交易不成，佣金全退！,,小区环境好，出行方便！居住成本低！老少皆宜，医院公交配套齐全！,,,,,,,
1795,新城首府二期大三房出售！房东诚心出售！看房方便！,418万,22595,钟楼区五星,新城首府二期,3室2厅1厨2卫,低楼层 (共31层),185㎡,暂无数据,144㎡,塔楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-02-14,商品房,2016-10-30,普通住宅,暂无数据,共有,无抵押,已上传房本照片,新城二期大三房出售！房东诚心出售！看房方便！新城物业！,,,,,房东目前不在这个片区发展，需要卖掉换大别墅，还有一套02户，如需要大平层，可以打包一起出售！,房子产权明晰，全款无抵押，交易全程陪同，贝壳承诺交易不成，佣金全退！,,房子有电梯，物业管理严格，楼下管家，电梯卡单独入户！小区邻里和睦！,,,,,,,
1796,西新桥芦墅星苑，电梯洋房，装修好，采光好，干净整洁,195万,15784,钟楼区五星,芦墅星苑,3室2厅1厨1卫,低楼层 (共6层),123.55㎡,暂无数据,103.63㎡,板楼,南,钢混结构,精装,暂无数据,无,暂无数据,2023-06-10,商品房,2014-06-11,普通住宅,满五年,共有,有抵押 业主自还,已上传房本照片,"1，小区是封闭式管理小区，配有大花园，环境优美，24小时的安保，儿童游乐设施，门口就有幼儿园，接娃方便。,
2，小区成熟，购物交通便利，上学近，步行就可到达
3，适合想给孩子一个较好小区环境的家庭。",,"距离芦墅公园仅500米，距离钟楼吾悦直线距离仅1500米，距离麦德龙大卖场仅1800米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便
小区门口自带中型生活市场",,房子为商品房，满2年 ，面积大于90平，首套房契税为1.5% 二套房的契税为2% 三套及以上为3%,,,,"1，户型方正，格局分布合理，空间感好，通透性强，居住舒适
2，楼层位置不影响采光，
3，2个卧室朝南，客厅带阳台显客厅宽敞
4，全屋主功能间都带有窗户，明厨明卫，更响亮。",,042453711669,西新桥芦墅星苑，电梯洋房，装修好，采光好，干净整洁,,,,
1797,勤业三堡街，枫丹花园一期，中间楼层装修好，全明设全,135万,12981,钟楼区五星,枫丹花园一期,3室2厅1厨1卫,中楼层 (共6层),104㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,两梯两户,有,暂无数据,2023-10-26,商品房,2019-09-09,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,"1，小区是封闭式管理小区，配有大花园，环境优美，24小时的安保，儿童游乐设施，,
2，小区成熟，购物交通便利，上学近，步行就可
3，适合预算有限，想给孩子一个较好小区环境的年轻家庭。",,"距离油罐公园仅1000米，距离钟楼吾悦直线距离仅1000米，距离麦德龙大卖场仅1800米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便
小区门口自带中型生活市场，多种品牌小吃，购物和生活都很便利。",,房子为商品房，满2年 ，面积大于90平，首套房契税为1.5% 二套房的契税为2% 三套及以上为3%,,,,"1，户型方正，格局分布合理，空间感好，通透性强，居住舒适
2，楼层位置不影响采光，
3，2个卧室朝南，客厅带阳台显客厅宽敞
4，全屋主功能间都带有窗户，明厨明卫，更响亮。",,042474185809,勤业三堡街，枫丹花园一期，中间楼层装修好，全明设全,,,,
1798,长江路勤业地铁口，步梯房，得房率高，装修好，拎包住,83万,11023,钟楼区五星,三堡街西楼,3室1厅1厨1卫,中楼层 (共7层),75.3㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,暂无数据,暂无数据,暂无数据,2023-07-25,商品房,2020-01-25,普通住宅,暂无数据,共有,有抵押 35万元,已上传房本照片,"1，小区在勤业三堡街，近地铁口，门口就有幼儿园，菜场，出入方便。
2，小区成熟，购物交通便利，上学买菜近，步行就可到达
3，适合预算有限，有老人小孩的家庭居住。",,"距离地铁口仅500米，距离龙湖天街直线距离仅1000米，距离麦德龙大卖场仅1800米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便
小区门口自带中型生活市场",,房子为商品房，满2年 ，面积小于90平，首套房和二套房契税为1% ， 三套及以上为3%,,,,"，户型方正，格局分布合理，空间感好，通透性强，居住舒适
2，楼层位置不影响采光，
3，2个卧室朝南，
4，全屋主功能间都带有窗户，明厨明卫，更响亮。",,042415853759,长江路勤业地铁口，步梯房，得房率高，装修好，拎包住,,,,
1799,二号线站口 龙湖天街东侧 星悦花都 4房2卫,218万,16017,钟楼区五星,星悦花都,4室2厅1厨2卫,中楼层 (共34层),136.11㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-09-10,商品房,2019-07-03,普通住宅,满两年,共有,无抵押,已上传房本照片,二号线站口 龙湖天街东侧 星悦花都 4房2卫,小区环境优雅，绿化好，配套成熟，居住舒适。人文素养好，宁静和谐，好环境总会给人带来好心情。,,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,地铁二号线，龙湖天街，青枫公园，勤业菜场，勤业大润发，五星公园,,,,,,,,,,,
1800,二号线站口 龙湖天街东侧 星悦花都 4房2卫,218万,16017,钟楼区五星,星悦花都,4室2厅1厨2卫,中楼层 (共34层),136.11㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-09-10,商品房,2019-07-03,普通住宅,满两年,共有,无抵押,已上传房本照片,二号线站口 龙湖天街东侧 星悦花都 4房2卫,小区环境优雅，绿化好，配套成熟，居住舒适。人文素养好，宁静和谐，好环境总会给人带来好心情。,,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,地铁二号线，龙湖天街，青枫公园，勤业菜场，勤业大润发，五星公园,,,,,,,,,,,
1801,长江路勤业地铁口，步梯房，得房率高，装修好，拎包住,83万,11023,钟楼区五星,三堡街西楼,3室1厅1厨1卫,中楼层 (共7层),75.3㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,暂无数据,暂无数据,暂无数据,2023-07-25,商品房,2020-01-25,普通住宅,暂无数据,共有,有抵押 35万元,已上传房本照片,"1，小区在勤业三堡街，近地铁口，门口就有幼儿园，菜场，出入方便。
2，小区成熟，购物交通便利，上学买菜近，步行就可到达
3，适合预算有限，有老人小孩的家庭居住。",,"距离地铁口仅500米，距离龙湖天街直线距离仅1000米，距离麦德龙大卖场仅1800米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便
小区门口自带中型生活市场",,房子为商品房，满2年 ，面积小于90平，首套房和二套房契税为1% ， 三套及以上为3%,,,,"，户型方正，格局分布合理，空间感好，通透性强，居住舒适
2，楼层位置不影响采光，
3，2个卧室朝南，
4，全屋主功能间都带有窗户，明厨明卫，更响亮。",,042415853759,长江路勤业地铁口，步梯房，得房率高，装修好，拎包住,,,,
1802,芦墅星苑，精装大三房，视野好，户型方正明厨明卫。,195万,15659,钟楼区五星,芦墅星苑,3室2厅1厨2卫,低楼层 (共22层),124.53㎡,暂无数据,暂无数据,板楼,东南,钢混结构,精装,一梯四户,有,暂无数据,2023-03-03,商品房,2016-05-20,普通住宅,暂无数据,非共有,有抵押 5万元,已上传房本照片,"1，户型方正，格局分布合理，空间感好，通透性强，居住舒适
2，楼层位置不影响采光，
3，2个卧室朝南，一卧室带大阳台，客厅带阳台显客厅宽敞
4，全屋主功能间都带有窗户，明厨明卫，更响亮。",,"距离芦墅公园仅800米，距离钟楼吾悦直线距离仅1200米，距离大卖场仅1800米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便，楼下就有菜场
小区门口自带中型生活市场，多种品牌小吃，购物和生活都很便利。",,房子为商品房，满2年，免增值附加税 面积大于90平，首套房契税为1.5% 二套房的契税为2% 三套及以上为3%,,,,"，户型方正，格局分布合理，空间感好，通透性强，居住舒适
2，楼层位置不影响采光，
3，2个卧室朝南，一卧室带大阳台，客厅带阳台显客厅宽敞
4，全屋主功能间都带有窗户，明厨明卫，更响亮。",,042480358853,芦墅星苑精装大三房视野好，户型方正，明厨明卫，全天采光好。,,,,
1803,长江路晋陵文禧旁，芦墅广景苑复式两层，三房双卫,145万,10233,钟楼区五星,芦墅广景苑,4室2厅1厨2卫,高楼层 (共6层),141.7㎡,暂无数据,132.33㎡,塔楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-28,商品房,2014-06-16,普通住宅,满五年,共有,有抵押 25万元,已上传房本照片,"1，小区是封闭式管理小区，配有大花园，环境优美，24小时的安保
2，小区成熟，购物交通便利，上学近，步行就可到达
3，适合预算有限，想多个房间的家庭",,"距离芦墅公园仅800米，距离钟楼吾悦直线距离仅1000米，距离麦德龙大卖场仅1800米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便
小区门口自带中型生活市场，多种品牌小吃，购物和生活都很便利。",,房子为商品房，满2年 ，面积大于90平，首套房契税为1.5% 二套房的契税为2% 三套及以上为3%,,,,"1，户型方正，格局分布合理，空间感好，通透性强，居住舒适
2，楼层位置不影响采光，",,042408653624,长江路晋陵文禧旁，芦墅广景苑复式两层，三房双卫，密码钥匙,,,,
1804,新城管家式物业，开发商精装 南北通风,265万,19727,钟楼区五星,新城首府二期,3室2厅1厨2卫,低楼层 (共31层),134.34㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,精装,两梯三户,有,暂无数据,2022-05-04,商品房,2016-06-07,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房由新城开发建设，精装修交付，管家式物业封闭小区 人车分流,新城开发改善住宅系列典范，口碑好，绿化高，交通便利，安静私密,,,,业主诚心出售，无抵押无贷款，产权清晰可查，目前房屋空置 看房方便,,,,新城精装修 空调 新风 地暖 外立面干挂石材，历久弥新。绿化层次分明，四季享受绿色花园,,,,,,
1805,龙湖龙誉城尚品  毛坯三房 中间楼层 楼间距开阔,180万,16211,钟楼区五星,龙湖龙誉城尚品,3室2厅1厨1卫,中楼层 (共34层),111.04㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-04-15,商品房,2017-05-09,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,2号线地铁口 龙湖天街旁 中高层毛坯房 楼间距开阔 户型通透,龙湖地产1993年诞生于重庆，是一家专注品质的专业地产公司；龙湖龙誉城尚品是2017年交付的品质居住小区，是小高层+高层的第三代住宅产品，配套25万方龙湖天街，出则繁华，入则宁静。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 三套房无论面积大小都是3%； 2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，","常州市妇幼保健医院500米，D铁2号线（延星港路），BRT,52路,213路，39路公交车，500米上高架，宝龙商场，惠农生鲜，龙湖商场等",,,,,,,,,,,
1806,龙湖天街旁星鑫家园大三居，楼层好，户型方正,135万,9614,钟楼区五星,星鑫家园西区,3室2厅1厨2卫,高楼层 (共6层),140.43㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2021-02-26,商品房,2017-01-20,普通住宅,暂无数据,共有,有抵押,已上传房本照片,星鑫家园位于常新路北，龙江路以东，常客路两侧，项目在五星桥。整个楼盘以小高层建筑为主，，生活配套齐全、景观优雅、交通快捷、生活十分便利。,"星鑫家园沿街商铺医院：五星医院邮局：中国邮政,五星邮政支局银行：工商银行、建设银行其他：五星公园、青枫公园",,,五星桥东 （4路; 21路; 34路; 41路; 57路; 58路; 93路; k3路）,,,,,,042456001317,此房通风效果好，户型方正无浪费。楼层好，采光好,,,,
1807,成熟小区，精致装修，西三村，中间楼层设施全，采光好,60万,10443,钟楼区五星,西新桥三村,2室1厅1厨1卫,中楼层 (共6层),57.46㎡,暂无数据,50㎡,板楼,东南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-03-12,商品房,2020-03-12,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,"1，小区内有儿童游乐设施，门口就有幼儿园，接娃方便。
2，小区成熟，购物交通便利，上学近，步行就可到达
3，适合预算有限，需要多个房间，出入方便，购物方便的家庭",,"距离芦墅公园仅1000米，距离钟楼吾悦直线距离仅1500米，距离大卖场仅800米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便
小区门口自带中型生活市场",,房子为商品房，满2年，免增值附加税 面积小于90平，首套房和二套房的契税为1% 三套及以上为3%,,,,"1，户型方正，格局分布合理，空间感好，通透性强，居住舒适
2，楼层位置不影响采光，
3，2个卧室朝南，一卧室带大阳台",,042459989948,成熟小区，精致装修，西三村，中间楼层设施全，采光好,,,,
1808,地铁菜场大润发 饮食近在咫尺 生活起居很方便,70万,13258,钟楼区五星,勤业一二三村,2室1厅1厨1卫,中楼层 (共5层),52.8㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,简装,暂无数据,无,暂无数据,2023-07-03,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,配套齐全，地铁菜场大润发 饮食近在咫尺 生活起居很方便,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 市 美食等,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,诚意出售， 欢迎看房，随时恭候户型棒，成熟小区管理 欢迎咨询房子详情,,,,,,,,,,
1809,御水华庭龙湖天街旁，地铁2号线上，平岗,180万,15790,钟楼区五星,城置御水华庭,3室2厅1厨1卫,中楼层 (共33层),114㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯三户,有,暂无数据,2023-05-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,毛坯满五不唯一，户型方正，中间层采光好，看房方便,小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,,环境优美：小区安静优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利：公交车方向众多，外部道路宽阔，交通十分便利。 3.生活便利：小区内有，生活用品及买菜十分便利，生活轻松。,,,小区生活设施齐全，农贸市场、银行、交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,,,,,,,
1810,地理位置佳，交通便利，采光佳，户型方正，看房方便~,165万,20887,钟楼区五星,深业华府,2室2厅1厨1卫,高楼层 (共33层),79㎡,平层,暂无数据,板楼,东南,钢混结构,精装,两梯四户,有,暂无数据,2023-09-10,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,地理位置佳，交通便利，采光佳，户型方正，看房方便~,,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,"业主人友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,成熟小区管理",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,,
1811,御水华庭三房两卫精装修，房东自住，拎包入住,185万,16372,钟楼区五星,城置御水华庭,3室2厅1厨1卫,高楼层 (共33层),113㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-04-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,龙湖天街 地铁口 在建综合菜市场 交通便利,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,契税：首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下成交价的1%，90平以上成交价的2%，三套及以上成交价的3%。个税：产证满五唯一，免收个税，不唯一成交价的1%,五星公园、青枫公园、800米运河公园风光带，工商银行、中国银行、农业银行、江南银行等众多，地铁二号线，龙湖天街和欧尚,,,,,,,,,,,
1812,龙湖天街 2号线 五星星韵城 小三房 毛坯 空置,170万,18375,钟楼区五星,五星星韵城南区,3室2厅1厨1卫,中楼层 (共35层),92.52㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2023-03-13,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房交通位置好 出行方便 次新小区新城物业 此房楼栋好 毛坯,五星星韵城占地250亩，总建60万方，18-34层的高层住宅。坐拥勤业商圈、酒店、广场、菜场等生活配套一应俱全，五星公园、青枫公园绿肺环抱畅享鲜氧生活，邻龙江高架、多公交覆盖、 2号线瞬间畅达全城。新古典主义建筑风格，赋予沉稳贵气，彰显典雅气质。,,,北边就是常州千年古运河，南边就是龙湖天街，西边就是龙江路高架,,,公交：B23、Y1星港路龙江路站，公交258五星平岗站；轨交：地铁2号线五星站;商场：龙湖天街、金地假日广场、大润发勤业店、勤业菜场其他：五星公园、青枫公园,,,,,,,,
1813,花园华丰苑 2室1厅 南,108万,11022,钟楼区五星,花园华丰苑,2室1厅1厨1卫,中楼层 (共6层),97.99㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
1814,龙湖天街 龙湖尚品 精致三房 精装修 拎包入住 视野佳,189万,21315,钟楼区五星,龙湖龙誉城尚品,3室2厅1厨1卫,高楼层 (共34层),88.67㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","小区环境优美,舒适安静适宜居住,出门即有公交菜场,银行商场美食等人文素养 好,乐于助人,相处和谐","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫",,"配套五星公园,出门就是,晚饭过后可以散步,楼下就是蓝天美食一条街,各种美食 一应具有,小区门口就有公交站台和共享单车,出行方便欧尚300米左右和龙 湖天街",,,,,,,,,,,
1815,勤业四村 2室1厅 南,50万,10205,钟楼区五星,勤业四村,2室1厅1厨1卫,高楼层 (共5层),49㎡,暂无数据,暂无数据,板塔结合,南,混合结构,简装,暂无数据,暂无数据,暂无数据,2023-09-17,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
1816,地铁口！天街旁 龙湖花千树 精装三房 高楼层 采光好,155万,14486,钟楼区五星,龙湖花千树,3室2厅1厨2卫,高楼层 (共34层),107㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2023-06-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房位于龙湖天街旁，配套齐全，地铁口，交通方便,小区生活设施齐全，购物广场，菜市场、银行 交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。 本人从事房地产多年，公司有大量好房源，欢迎随时电话咨询。,,契税：首套房90平米以下1%，90平米以下1.5%；二套房90平米以下1%，90平米以上2%。3套及以上不论面积统一3% 2：增值税：满两年免征。不满两年5.3% 3：个人所得税：除满五唯一免征外，其他均按全额的1%征收。,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活..,,,,,,,,,,,
1817,采光好，配套其全，视野宽阔，交通便利,65万,10590,钟楼区五星,西新桥二村,2室1厅1厨1卫,中楼层 (共4层),61.38㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,简装,暂无数据,无,暂无数据,2023-07-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,采光好，配套其全，视野宽阔，交通便利,小区旁成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切需要,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满四年增值税5.3%，满四年免增值税 4、满五年唯一免个税1%,距离芦墅公园仅1000米，距离钟楼吾悦直线距离仅1500米，距离大卖场仅800米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便 小区门口自带中型生活市场,,,,,,,,,,,
1818,莱茵三期满五唯一精装保养好看房方便环境优雅舒适,120万,13316,钟楼区五星,高成莱茵花苑北区,2室1厅1厨1卫,低楼层 (共25层),90.12㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,有,暂无数据,2023-04-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,莱茵三期，满五唯一，精装保养好，看房方便，环境优雅舒适,,,,配套设施完善，出门就是美食，娱乐休闲场所，欧尚 ，龙湖天街，菜场等，交通方便快捷,1、业主换房，诚意出售！房源真实，随时看房。 2、产权在手，满五唯一，二手房，房源已验，看房方便，可以随心自己装修自己喜欢的风格。,,,,此房户型方正，房东诚心出售，房子是房东自己住的所以装修材料比较考究，用的都是好材料，全品牌家具家电，精装修，拎包即住,,,,,,
