,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,税费解析,周边配套,交通出行,小区介绍,装修描述,权属抵押,户型介绍,售房详情,适宜人群,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格
122,路劲城市花园精装四房双阳台，保养新，全天采光,195万,13686,钟楼区西林,路劲城市花园,4室2厅1厨2卫,高楼层 (共32层),142.49㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-04-17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,中上楼层，东边户，户型方正，三面采光，得房率高,,有两个教育用地，还有幼儿园，配套齐全，配套成熟，小区安保物业负责，有公园，医院，,,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 ，美食等 人文素养好,,,,,,,,,,
123,泰盈好楼层户型，刺眼采光保养好。。。,145万,12206,钟楼区西林,泰盈八千里,3室2厅1厨1卫,高楼层 (共26层),118.8㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2022-10-25,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,视野宽阔，采光充足，配套齐全，交通便利。。。。。。。,首套房90㎡以下 1%，90㎡以上1.5%；二套房90㎡以下1%，90㎡以上2%；三套房不论面积统一3%。2.增值税： 满两年免缴；不限售且不满二年的5.6%。 3.个人所得税： 满两年1%；满五唯一免缴。,幼儿园：西林幼儿园，大型商场：万泰广场、上海家具大卖场。医院：妇幼+第/一医院分院，西林医院。银行：中国邮政银行，江南农村银行。公园：西林公园,,小区地理位置佳，绿化45%，居民素质高；有健身器材，露天泳池，小型球场，儿童幼儿区，可供小区居民使用；停车位充足，建有地上停车场和地下车库。,,,,,,,,,,
124,满两年，中间楼层，视野宽阔，采光充足,210万,15442,钟楼区西林,泰盈八千里,3室1厅1厨2卫,中楼层 (共15层),136㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2022-08-27,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,满两年，中间楼层，视野宽阔，采光充足，配套齐全，交通便利。,1.契税：首套房90㎡以下 1%，90㎡以上1.5%；二套房90㎡以下1%，90㎡以上2%；三套房不论面积统一3%。2.增值税： 满两年免缴；不限售且不满二年的5.6%。 3.个人所得税： 满两年1%；满五唯一免缴。,幼儿园：西林幼儿园，大型商场：万泰广场、上海家具大卖场。医院：妇幼+第/一医院分院，西林医院。银行：中国邮政银行，江南农村银行。公园：西林公园,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下，向西南步行500米。,小区地理位置佳，绿化45%，居民素质高；有健身器材，露天泳池，小型球场，儿童幼儿区，可供小区居民使用；停车位充足，建有地上停车场和地下车库,,,,,,,,,,
125,路劲城市花园 3室2厅 南,137万,13025,钟楼区西林,路劲城市花园,3室2厅1厨1卫,高楼层 (共34层),105.19㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2023-06-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,
126,精装修四房 视野采光无遮挡 业主诚售,180万,12858,钟楼区西林,泰盈八千里,4室1厅1厨2卫,高楼层 (共18层),140㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2022-07-28,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,精装修四房 视野采光无遮挡 业主诚售,1.契税：首套房90㎡以下 1%，90㎡以上1.5%；二套房90㎡以下1%，90㎡以上2%；三套房不论面积统一3%。2.增值税： 满两年免缴；不限售且不满二年的5.6%。 3.个人所得税： 满两年1%；满五唯一免缴,,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下，向西南步行500米。,泰盈集团于1994年在香港注册成立，现总部设于广州。泰盈集团旗下专注于物业管理与服务的独立子公司——香港瑞泰联行国际物业服务有限公司（简称瑞泰联行）于1995年成立，目前拥有一支勤业、敬业、专业、用心的员工队伍。,,,在户型设计上：采用是方正实用，南北对流、多阳台及空中花园，通风采光好，实用率高。特色的阳台以及漂窗的用心的设置大大提高了空间功能性和使用率，同时也提升了空间布局的趣味性和标志性。使您的利益得到了Z大化的保障。,,,,,,,
127,西林公园边 精装三房 拎包入住 产权清晰,168万,17072,钟楼区西林,路劲城市花园,3室2厅1厨1卫,高楼层 (共27层),98.41㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2022-05-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,西林公园边 精装三房 拎包入住 产权清晰,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五免个人所得税,商场：万泰广场、人民医院钟楼分院、妇幼保健院：邮局：中国邮政 银行：江南农村银行 其他：西林公园、皇粮浜湿地公园,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下,路劲城市主场作为路劲地产钟楼板块的先锋部队，无论房屋质量、小区绿化、物业管理都是按照总公司的标准执行，高标准、高品质、早买早省心。,,,,,,,,,,
128,位置好 得房率高 保养新 户型方正,175万,16356,钟楼区西林,路劲城市花园,3室2厅1厨2卫,中楼层 (共34层),107㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-05-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,次新小区 近西林公园 位置好 得房率高 保养新 户型方正,"：
90平以下首套房和二套房契税都是1％、三套及以上契税3%。个税是1%。 90平以上首套房契税1.5%，二套房契税2%，三套及以上契税3%，个税1%。 如果房子是房东名下唯一的房产，且满五年，则可省1%个税。 满五和唯一两个条件缺一不可",配套完善 交通便利 小区物业好24安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商场,,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 ，美食等 人文素养好,,,,,,,,,,
129,此房满二，南北通风，楼层好，采光佳视线远，装修好,180万,14877,钟楼区西林,泰盈八千里,3室2厅1厨2卫,高楼层 (共32层),121㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-06-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房满二，南北通风，楼层好，采光佳视线远，装修好,,"本小区位于城西主干道常金线和清潭西路必经之处，交通四通八达出行便利，进出市区或往乡村的各路公交都有站点，龙江路高架近在咫尺,距离在五百米左右，小区外各种饭店，公园，娱乐设施等配套齐全具备，使生活很方便。",,泰盈八千里位于钟楼区怀德南路55号，总建筑面积为66万方。项目基本以高层为主，建筑以板楼为主，以BLOCK空间围合，配上各个主题的园林景观，丰富了视野的层次感。建筑立面风格是以现代风格为主，但是在材料选用，细部刻画上，沿袭了欧洲学院派的严谨设,,,,,本房装修风格很适合现代年轻人的品味，做婚房的话无需任何改动，也适合三代温馨之家,,,,,
130,路劲城市花园，精装三房，楼层好，小区前排，房东诚售,135万,11952,钟楼区西林,路劲城市花园,3室1厅1厨2卫,低楼层 (共25层),112.96㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-10,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 35万元,未上传房本照片,次新小区 近西林公园 位置好 得房率高 户型方正,,配套完善 交通便利 小区物业好24小时安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商场,交通出行： 交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下,区介绍： ： 路劲城市主场作为路劲地产钟楼板块的先锋部队，无论房屋质量、小区绿化、物业管理都是按照总公司的标准执行，高标准、高品质、早买早省心。,,,,,,,,,,
131,西林公园 路劲城市花园 精装修3房 还有产权车位单卖,135万,15836,钟楼区西林,路劲城市花园,3室2厅1厨1卫,低楼层 (共34层),85.25㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-02-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 40万元,未上传房本照片,位置好，得房率高， 保养新 户型方正.采光无遮挡,"税费解析： 税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",配套完善 交通便利 小区物业好24安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商场,,小区介绍： 小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 ，美食等 人文素养好,,,,,,,,,,
132,泰盈新楼幢 位置好楼层好 三朝南三室两厅双卫 纯毛坯,170万,14715,钟楼区西林,泰盈八千里,3室2厅1厨2卫,中楼层 (共29层),115.53㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-03-05,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 公积金 业主自还,未上传房本照片,泰盈新楼幢 位置好楼层好 三朝南三室两厅一厨双卫 纯毛坯,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,小区地理位置佳，绿化，居民素质高；有健身器材，可供小区居民使用；停车位充足，建有地上停车场和地下车库,,,楼层好，采光充足，配套齐全，三室两厅一厨双卫。三朝南，视野开阔。,,,,,,,
133,精装修三房 自住保养很好 非一楼！,138万,12213,钟楼区西林,泰盈八千里,3室1厅1厨1卫,低楼层 (共17层),113㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2022-08-28,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,精装修三房 自住保养很好 非一楼！,1.契税：首套房90㎡以下 1%，90㎡以上1.5%；二套房90㎡以下1%，90㎡以上2%；三套房不论面积统一3%。2.增值税： 满两年免缴；不限售且不满二年的5.6%。 3.个人所得税： 满两年1%；满五唯一免缴,,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下，向西南步行500米。,泰盈集团于1994年在香港注册成立，现总部设于广州。泰盈集团旗下专注于物业管理与服务的独立子公司——香港瑞泰联行国际物业服务有限公司（简称瑞泰联行）于1995年成立，目前拥有一支勤业、敬业、专业、用心的员工队伍。,,,在户型设计上：采用是方正实用，南北对流、多阳台及空中花园，通风采光好，实用率高。特色的阳台以及漂窗的用心的设置大大提高了空间功能性和使用率，同时也提升了空间布局的趣味性和标志性。使您的利益得到了Z大化的保障。,,,,,,,
134,户型方正，格局合理，通透性强，亮视野开阔,125万,11296,钟楼区西林,泰盈八千里,3室2厅1厨1卫,高楼层 (共18层),110.66㎡,平层,暂无数据,板塔结合,东南 南,钢混结构,简装,两梯四户,有,暂无数据,2022-03-05,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,诚意出售，户型方正，通透性强，居住舒适，采光透亮视野开阔,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下，向西南步行500米。,小区地理位置佳，绿化，居民素质高；有健身器材，自带游泳池，可供小区居民使用；停车位充足，建有地上停车场和地下车库,,,,,,,,,,
135,泰盈八千里 4室2厅 南 北,140万,10010,钟楼区西林,泰盈八千里,4室2厅1厨2卫,中楼层 (共27层),139.87㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-01-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,
136,正4房精装修，户型方正，采光充足，房东诚心出售。,158万,11269,钟楼区西林,泰盈八千里,3室1厅1厨2卫,高楼层 (共32层),140.22㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-03-19,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,正4房，此房精装修，户型方正，采光充足，房东诚心出售。,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,小区地理位置佳，绿化，居民素质高；有健身器材，可供小区居民使用；停车位充足，建有地上停车场和地下车库,,,精装修采光无影响，配套齐全，顶楼复式， 客厅带阳台，视野开阔，,,,,,,,
137,中吴广场旁泰盈八千里 精装三房 拎包入住,155万,10875,钟楼区西林,泰盈八千里,3室2厅1厨2卫,低楼层 (共18层),142.53㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,五梯四户,有,暂无数据,2023-04-01,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,朝南通透 无遮挡 ，视野宽阔，采光充足，交通便利,,配套完善 交通便利 小区物业好24安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商场,,小区内环境优美，干净整洁，楼栋分布均匀，24小时安保，地下停车位,,,,,,,,,,
138,泰盈八千里 小高层 有钥匙方便看 另有车位单独出售,126万,12990,钟楼区西林,泰盈八千里,3室2厅1厨1卫,高楼层 (共18层),97㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,暂无数据,2023-06-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一，楼层好，位置好，视线采光好，有钥匙方便看,买家首套契税：面积＜ 90平米1%，面积≥90平米1.5%；二套契税：面积＜ 90平米1%，面积≥90平米2%；三套契税：3%。个人所得税卖家满五唯一免征。商铺公寓地产3%契税。房屋契税时间不满2年，缴纳5.3%增值税,"常州市妇幼保健医院500米，D铁2号线（延星港路），BRT,52路,213路，39路公交车，500米 上高架，宝龙商场，惠农生鲜，龙湖商场等",交通方便 500米上龙江高架 有多条公交线路 路况四通八达 出租车随叫随到 方便快捷,,,,,,,,,,,
139,中上好楼层 精装小三房  业主诚售,130万,14071,钟楼区西林,路劲城市花园,3室1厅1厨1卫,中楼层 (共34层),92.39㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-20,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,中上好楼层 精装小三房 拎包即住 业主诚售,： 1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五免个人所得税,万泰广场、人民医院钟楼分院、妇幼保健院：邮局：中国邮政 银行：江南农村银行 其他：西林公园、皇粮浜湿地公园,,"：
小区介绍： 小区环境优美，与青枫公园、童子河休闲观光绿化带相望，为社区居民提供了优美的生活环境。，内设服务大厅、警务室、活动场所、便民服务",,,,,,,,,,
140,泰盈八千里，楼层佳通透，采光充足，配套齐全,160万,13676,钟楼区西林,泰盈八千里,3室2厅1厨1卫,中楼层 (共32层),117㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,三梯六户,有,暂无数据,2023-01-01,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 30万元,未上传房本照片,满五唯一，楼层好通透，视野宽阔，采光充足，配套齐全,目前契税政策:首套:90平米以下1%，90平米以上1.5% 二套: 90平米以下1%，90平米以上2% 三套及以上:3% 增值税政策: 满2年免征不满2年全额5.3% 个人所得税: 满5年并且是唯一住房可以免征，其他情况均为全额的1%,西林公园，全龄段教育，中吴广场，宝龙，龙湖天街，生活氛围浓厚,,,,,楼层佳，户型方正，通透，视野宽阔，采光充足，布局合理，双阳台设计。,,,,,,,
141,次新小区精装小三房 楼层好  品牌家装 诚心出售,125万,14663,钟楼区西林,路劲城市花园,3室2厅1厨1卫,中楼层 (共34层),85.25㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-05,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,满五唯一 中上好楼层 简约小三房 随时可看 业主诚售,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五免个人所得税,商场：万泰广场、人民医院钟楼分院、妇幼保健院：邮局：中国邮政 银行：江南农村银行 其他：西林公园、皇粮浜湿地公园,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下,,,,,,,,,,,
142,泰盈八千里 三房精装 房东诚售,130万,12038,钟楼区西林,泰盈八千里,3室2厅1厨1卫,中楼层 (共26层),108㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-03-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一 ，视野宽阔，采光充足，配套齐全，交通便利！,首套房90㎡以下 1%，90㎡以上1.5%；二套房90㎡以下1%，90㎡以上2%；三套房不论面积统一3%。2.增值税： 满两年免缴；不限售且不满二年的5.6%。 3.个人所得税： 满两年1%；满五唯一免缴。,幼儿园：西林幼儿园，大型商场：万泰广场、上海家具大卖场。医院：妇幼+第/一医院分院，西林医院。银行：中国邮政银行，江南农村银行。公园：西林公园,,小区内环境优美，干净整洁，楼栋分布均匀，24小时安保，地下停车位,,,,,,,,,,
143,路劲城市主场  中间层  采光佳  诚意出售的,115万,13621,钟楼区西林,路劲城市花园,3室2厅1厨1卫,高楼层 (共30层),84.43㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-04-09,商品房,2023-04-09,普通住宅,未满两年,共有,有抵押 30万元,已上传房本照片,全新装修随时入住的，小区物业环境好，24小时安保，地理位置佳,,"：
10FZ就能上龙江路高架，可以去到新北和湖塘，北边有公交站台，方便出行",,小区北边和西边都有商*，能够满足一家人的需求，菜场就是在南边，非C方便,,,,,,042438517374,楼层中间，不是很高，房东诚心出售，看中好谈的,,,
144,西林凤凰景荟公寓，带天然气，以租养贷,45万,7759,钟楼区西林,景荟凤凰公寓,1室1厅1厨1卫,中楼层 (共14层),58㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,两梯三十户,有,暂无数据,2020-11-10,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,西林凤凰景荟公寓，带天然气，以租养贷,,幼儿园：西林幼儿园：大学商场：万泰广场、上海家具大卖场医院：西林医院邮局：中国邮政银行：江南农村银行其他：西林公园,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下，向西南步行500米。,,,,房子一居室，有天然气，公寓式一室一厅一厨一卫，楼层好，出门就是BRT,,,,,,,
145,大户型，户型明亮宽敞，业主诚售，看房方便,50万,8552,钟楼区西林,景荟凤凰公寓,1室1厅1厨1卫,低楼层 (共14层),58.47㎡,平层,暂无数据,塔楼,东南,钢混结构,毛坯,两梯三十户,有,暂无数据,2021-07-29,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 客户偿还,未上传房本照片,户型明亮宽敞，业主诚售，看房方便,契税： 首套房90M以下1％、90M以上 1.5 二套房90M以下1％、90M以上2％ 三套房不论面积统一3％. 2、 增值税： 满二年不论面积全免、 不满二年收全额的5％、 3、个人所得税： 满二年不满5年1％、 满五免个人所得税 一个点和个税,,,小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,,房屋是边户，采光通风都很好，视野开阔，安静，居住舒适。。。。,,,,,,,
146,景荟凤凰公寓  朝南  采光很好,60万,10345,钟楼区西林,景荟凤凰公寓,1室1厅1厨1卫,高楼层 (共14层),58㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,两梯三十户,有,暂无数据,2021-01-28,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,低密度社区，交通便捷，室内干净清爽,1、 契税： 首套房90M以下1％、90M以上 1.5 二套房90M以下1％、90M以上2％ 三套房不论面积统一3％. 2、 增值税： 满二年不论面积全免、 不满二年收全额的5％、 3、个人所得税： 满二年不满5年1％、 满五免个人所得税 一个点和个税,,,,新精装修，未入住，室内干净清爽，装修用心，厨房卫生间都很干净,,简单的1室1厅，朝南，采光很好，靠东边，视野开阔，干湿分离，明厨。,,,,,,,
147,凤凰公寓，诚心出售，随时看房，,69万,10000,钟楼区西林,景荟凤凰公寓,1室1厅1厨1卫,中楼层 (共14层),69㎡,平层,暂无数据,塔楼,北,钢混结构,精装,两梯三十户,有,暂无数据,2021-04-16,商品房,暂无数据,商业,暂无数据,非共有,无抵押,未上传房本照片,业主诚心出售，价格便宜看房方便,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,,,小区生活设施齐，商场、*市、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮,,,,,,,
148,西林凤凰景荟公寓，带天然气，以租养贷,45万,7719,钟楼区西林,景荟凤凰公寓,1室1厅1厨1卫,中楼层 (共14层),58.3㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,两梯三十户,有,暂无数据,2020-09-06,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,西林凤凰景荟公寓，带天然气，以租养贷,,幼儿园：西林幼儿园：大学商场：万泰广场、上海家具大卖场医院：西林医院邮局：中国邮政银行：江南农村银行其他：西林公园,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下，向西南步行500米。,,,,房子一居室，有天然气，公寓式一室一厅一厨一卫，楼层好，出门就是BRT,,,,,,,
149,泰盈八千里精装一房适合刚需改善,81.6万,16000,钟楼区西林,泰盈八千里,1室1厅1厨1卫,低楼层 (共32层),51㎡,平层,暂无数据,板塔结合,西,钢混结构,精装,三梯六户,有,暂无数据,2020-05-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房楼层好 视野开阔  配套齐全   舒适安静  适宜居住,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,小区环境优美 舒适安静  适宜居住 出门即有公交菜场 银行  *市  美食等 人文素养好,,,,,,,,,,
150,装修新，小两房电梯房，领包即住，房东诚售,92万,13812,钟楼区西林,泰盈八千里,2室1厅1厨1卫,中楼层 (共32层),66.61㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,三梯六户,有,暂无数据,2021-06-13,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 11万元,未上传房本照片,位置好，得房率高， 新装修一年多保养新 采光无遮挡两房小户型,,配套完善 交通便利 小区物业好24安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商,,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银美食等 人文素养好，,,,,,,,,,,
151,泰盈八千里精装房，品牌家电，交通方便,90万,13512,钟楼区西林,泰盈八千里,2室2厅1厨1卫,中楼层 (共32层),66.61㎡,平层,暂无数据,板塔结合,东南 东,钢混结构,简装,三梯五户,有,暂无数据,2021-01-15,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 20万元,未上传房本照片,环境优雅，低密度社区。 2、小区绿化高，让您感受像花园.,契税：首套房90平以下 1%，90平以上1.5%，二套房90平以下1%，90平以上2%，名下第三套房契税3%2、增值税：满两年不征收，不满二年且备案时间是17年4月9号之前，需缴纳5.3%的增值税方可过户。3个人所得税：满两年1%，满五年唯一，免个人所得税,,环保自行车 brt快速公交 龙江高架和怀德南路 公交站点包 ： 泰盈八千里位于钟楼区怀德南路55号，总建筑面积为66万方。项目基本以高层为主，建筑以板楼为主，以BLOCK空间围合，配上各个主题的 泰盈八千里位于钟楼区怀德南路55号，总建筑面积为66万方。,泰盈八千里位于钟楼区怀德南路55号，总建筑面积为66万方。项目基本以高层为主，建筑以板楼为主，以BLOCK空间围合，配上各个主题的园林景观，丰富了视野的层次感。建筑立面风格是以现代风格为主，但是在材料选用，细部刻画上，沿袭了欧洲学院派的严谨设计手,,,,,,,,,,
152,泰盈八千里 精装修两房 好楼层 诚心出售,123万,13821,钟楼区西林,泰盈八千里,2室1厅1厨1卫,中楼层 (共27层),89㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-04-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,满五不唯一，带装修两房 视野采光无遮挡 业主诚售,"：
1.契税：首套房90㎡以下 1%，90㎡以上1.5%；二套房90㎡以下1%，90㎡以上2%；三套房不论面积统一3%。2.增值税： 满两年免缴；不限售且不满二年的5.6%。 3.个人所得税： 满两年1%；满五唯一免缴。",,"交通出行：
公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下，向西南步行500米。","小区介绍：
泰盈集团于1994年在香港注册成立，现总部设于广州。泰盈集团旗下专注于物业管理与服务的独立子公司——香港瑞泰联行国际物业服务有限公司（简称瑞泰联行）于1995年成立，目前拥有一支勤业、敬业、专业、用心的员工队伍。",,,,,,,,,,
153,泰盈八千里 2室2厅 南 北,95万,10440,钟楼区西林,泰盈八千里,2室2厅1厨1卫,高楼层 (共21层),91㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-01-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,
