,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,税费解析,周边配套,交通出行,房源核验码,查询房管备案记录,售房详情,权属抵押,装修描述,适宜人群,别墅类型,用水类型,用电类型,燃气价格
1117,路劲城市印象，中间层，毛坯未入住,140万,14373,钟楼区永红,路劲城市印象,3室1厅1厨1卫,中楼层 (共34层),97.41㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-04-21,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,位置好，得房率高，新装修婚房 户型方正，采光无遮挡。,开发商为路劲集团，优质外资房企，全国房企20强。小区于2019年交付的新房。小区类型为洋房和高层，适用于改善居住。小区物业优质，生活便利，交通方便。,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区配套完善 交通便利 西侧龙江高架 南边是中吴大道 北边是清潭路所以去新北武进天宁都很便利,,,,,,,,,,,
1118,荆川清潭教育，清潭清园，2房，诚心出售！,65万,11440,钟楼区永红,清潭清园南区,2室1厅1厨1卫,中楼层 (共6层),56.82㎡,暂无数据,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,2023-04-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,荆川清潭教育，低总价，楼层佳，享清潭成熟配套,,,"目前契税政策:
首套:90平米以下1%，90平米以上1.5% 
二套: 90平米以下1%，90平米以上2% 
三套及以上:3% 
增值税: 满2年免征
不满2年5.3% 
个人所得税: 满5年并且是唯一住房可以免征，其他情况均为全额的1%",清潭菜场，荆川公园，院街，弘阳广场，清潭西路餐饮街，清潭成熟配套,中吴大道贯穿常州东西，长江路贯穿常州南北，龙江路高架通达常州全城,,,,,,,,,,
1119,房户型方正，阳光充足，交通便利，小区门口是中吴大道,108万,10694,钟楼区永红,绿园,3室1厅1厨1卫,高楼层 (共17层),101㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有,暂无数据,2023-02-08,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 60万元,未上传房本照片,房户型方正，阳光充足，交通便利，小区门口是中吴大道,,,契税：首套房90平米以下1%，90平米以下1.5%；二套房90平米以下1%，90平米以上2%。3套及以上不论面积统一3% 2：增值税：满两年免征。不满两年5.3% 3：个人所得税：除满五唯一免征外，其他均按全额的1%征收。,小区配套有弘阳生活广场大型综合体。吃喝娱乐采购一站式解决，距离南大街，湖塘吾悦三公里。与江苏理工学院一路之隔，西面1千米有皇粮浜湿地公园，北面五百米荆川公园。,交通便利，楼下便利店，宾馆，菜场，银行一应俱全，建设银行，公交站台都有,,,,,,,,,,
1120,新上六楼带阁楼面积大，采光充足，环境优美，闹中取静,65万,10698,钟楼区永红,荆川东园北区,3室2厅1厨2卫,高楼层 (共6层),60.76㎡,暂无数据,暂无数据,板塔结合,南,砖混结构,精装,暂无数据,暂无数据,暂无数据,2022-10-31,商品房,1999-08-02,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,房屋楼层好，日照采光充足，东边户，三个大房间，看房方便。,,,,成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。,小区边有助力脚踏车，多路公交车站台，贯通龙城南北，出行便捷 ，离市区和九州商圈距离近,,,业主现诚心置换，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,,,,,,,
1121,世纪华城   楼层好  诚心出售  看房方便,150万,11065,天宁区永红,世纪华城,3室2厅1厨2卫,高楼层 (共25层),135.57㎡,暂无数据,107.13㎡,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2022-11-12,商品房,2009-04-30,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,户型方正，简单装修，看房方便，交通便利。高层采光好,小区环境优美，舒适安静，适宜居住，出门即有公交、银行、没事等，人文素质高，乐于助人，相处和谐！，小区居住密度低，物业环境好,,契税解析：首套房90平米以下成交价1%，90平米以上成交价的1.5%，二套房90平米以下是1%，以上是2%，三套不论大小均为3%，增值税解析：产权证满2年免征增值税，未满2年征收5.3%；个税：未满5年，收个税1%。,配套齐全，三公里范围内有清潭菜市场。出小区门口就是弘扬广场，广场已经全面投入使用。肯德基、麦当劳、星巴克、一应俱全,,,,,,,,,,,
1122,电梯房毛坯大三房2卫，楼层好，房东诚心出售,198万,14466,钟楼区永红,方圆云山诗意,3室2厅1厨2卫,高楼层 (共27层),136.88㎡,暂无数据,109.41㎡,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-03-15,商品房,2018-09-20,普通住宅,暂无数据,共有,无抵押,已上传房本照片,电梯房毛坯大三房2卫，楼层好，配套设施齐全，交通便利,小区采用“家和万事兴”的社区理念，忠、孝、仁、义、礼、智、信、和的“八德”伦理，师法自然的东方园林，东方人心灵归宿的现代东方建筑，文化传承的国学馆等东方人居表性元素，致力打造出“和谐美善风尚，小桥院落人家”的现代东方亲情文化社区。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",商场：郑州日产专营店、凌家塘农副产品批发市场、信特、大润发香江华庭店、欧尚、凌家塘装饰城、中行、农行、工行、恒温泳池、国学大讲堂、SPA会所； 医院：四院、仁爱医院；,有地铁二号线，BRT交通枢纽，B23路，52路，213路，225路，Y1路,,,,,,,,,,
1123,：优质户型 通透格局 得房率高 配套齐全 交通方便,260万,18231,钟楼区永红,陈渡新苑,4室1厅1厨2卫,低楼层 (共11层),142.62㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2022-10-24,商品房,2008-04-22,普通住宅,暂无数据,共有,无抵押,已上传房本照片,优质户型，通透格局，得房率高，配套齐全，交通方便。,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,门口12路公交站，北面42路公交，出行方便，步行100米以内，还有免费的自行车,,,,,,,,,,
1124,路劲城市印象 3室2厅 南,168.8万,15444,钟楼区永红,路劲城市印象,3室2厅1厨2卫,低楼层 (共34层),109.3㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-11-16,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
1125,荆川里精装顶楼复式 保养好 拎包住 诚心出售看房方便,110万,8944,钟楼区永红,荆川里,4室2厅1厨2卫,高楼层 (共6层),123㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,精装,暂无数据,暂无数据,暂无数据,2023-06-16,商品房,2010-05-17,普通住宅,暂无数据,共有,无抵押,已上传房本照片,顶楼复式，户型方正通风采光好，实际面积大，保养好，诚心出售。,,1、户型方正，格局分布合理，空间感好，通透性强，居住舒适 2、楼层佳，采光好，南北朝向，采光充足。3、小区环境优美，内有健身器材和娱乐广场，物业服务态度好。,"1：契税：首套房90平米以下1%，90平米以下1.5%；二套房90平米以下1%，90平米以上2%。3套及以上不论面积统一3%
2：增值税：满两年免征。不满两年5.3%
3：个人所得税：除满五唯一免征外，其他均按全额的1%征收。",,,,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商,,,,,,,
1126,路劲万象品质小区一梯一户128平毛坯三房诚心出售,235万,18293,钟楼区永红,路劲雅居乐城市万象,3室2厅1厨2卫,低楼层 (共18层),128.47㎡,暂无数据,103.72㎡,板楼,南,框架结构,毛坯,暂无数据,暂无数据,暂无数据,2022-09-20,商品房,2020-09-30,普通住宅,暂无数据,共有,有抵押,已上传房本照片,一梯一户，毛坯小高层，视野开阔，优质配套。,开发商：路劲地产集团成立于2003年，位列外资房地产开发企业第1名、全国房企30强。 交付时间：2020年8月的新房，毛坯交付。 产品类型：总高18层的小高层洋房，一梯一户，典型的新一代住宅。 小区优势：品质物业服务，优质公共资源，生活便利，闹中取静。,,"1、契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证未满5年，缴税成交价的1%。",,,,,,,,,,,,
1127,大象洋楼，顶复带露台，次新房毛坯，随时看房,500万,38134,钟楼区永红,路劲城市印象,5室2厅1厨2卫,高楼层 (共7层),131.12㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,无,暂无数据,2023-11-18,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 100万元,未上传房本照片,大象洋楼，顶复带露台，次新房毛坯，随时看房,小区地理位置 绿化 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位：助人，小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 市场 美食等 人文素养好，,南北通风，视野开阔，配套设施齐全，交通便利，四房两卫，三开间朝南户型,,出门就能上龙江路高架，旁边中吴大道，黄粮浜湿地公园，教科院 钟楼外国语,,,,,,,,,,,
1128,怀德中路三房 非顶楼 装修保养好 采光佳 看房方便,126万,11134,钟楼区永红,怀德中路181号,3室1厅1厨1卫,高楼层 (共6层),113.17㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,四梯两户,有,暂无数据,2023-07-16,商品房,2020-12-03,普通住宅,满两年,共有,有抵押 50万元 建行,已上传房本照片,户型方正，采光通风好，装修保养佳，全天采光。,,1、户型方正，格局分布合理，空间感好，通透性强，居住舒适 2、楼层佳，采光好，南北朝向，采光充足。3、小区环境优美，内有健身器材和娱乐广场，物业服务态度好。,"1：契税：首套房90平米以下1%，90平米以下1.5%；二套房90平米以下1%，90平米以上2%。3套及以上不论面积统一3%
2：增值税：满两年免征。不满两年5.3%
3：个人所得税：除满五唯一免征外，其他均按全额的1%征收。",,,,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商,,,,,,,
1129,清潭菜场旁，四楼，采光无遮挡，诚心出售,188万,14115,钟楼区永红,清潭嘉苑,3室2厅1厨1卫,中楼层 (共6层),133.2㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,无,暂无数据,2023-11-14,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 70万元 业主自还,未上传房本照片,清潭菜场旁，四楼，采光无遮挡，诚心出售,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区门口过马路就是清潭菜场 小区出门就是23路 56路公交车站台 去南大街 火车站都方便 新怡华在小区出门50米 小区门口药店 大喜来 熟菜店。。。。。。。生活配套齐全。,,,,,此房满五不唯一 产权清晰 共有产权 可随时过户 房东诚心出售,,,,,,
1130,尚德花园 三室两卫 新城物业 楼层采光好,169万,14696,钟楼区永红,尚德花园,3室2厅1厨2卫,高楼层 (共18层),115㎡,暂无数据,92.28㎡,暂无数据,南,未知结构,毛坯,两梯四户,有,暂无数据,2023-11-15,商品房,2022-08-29,普通住宅,未满两年,非共有,有抵押 100万元,已上传房本照片,此房优质户型，低总价，通透格局，楼层好，视野宽..,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适.,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
1131,满五唯一 清潭初中旁顶复实用面积大电梯加装中,75万,10854,钟楼区永红,荆川里,4室2厅1厨2卫,高楼层 (共6层),69.1㎡,暂无数据,暂无数据,板塔结合,南,砖混结构,简装,暂无数据,无,暂无数据,2023-02-07,商品房,2018-02-08,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,诚心出售，价格可以再谈，欢迎看房，随时恭候,小区配套齐全，交通配套成熟，出行便利，小区安保物业负责，有公园，医院，商场， 等等,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%",,,,,此房业主诚心出售，产权清晰，证件齐全，看房方便，提前联系房东,,,,,,,
1132,优质户型 ，通透格局，实用率大，房东诚心出售,143万,12394,钟楼区永红,紫荆苑(钟楼区),3室2厅1厨2卫,中楼层 (共4层),115.38㎡,暂无数据,暂无数据,板塔结合,南 北,砖混结构,精装,暂无数据,无,暂无数据,2023-10-15,商品房,2009-11-20,普通住宅,暂无数据,共有,无抵押,已上传房本照片,优质户型 ，通透格局，实用率大，房东诚心出售,小区环境优美，舒适安静，适宜居住，出门有公交，菜场，银行，美食等，生活配套齐全。,,"：
契税：90平米以下成交价1%，90平米以上成交价的1.5%，二套房90平米以上成交价的2%，三套房成交价的3%，2、增值税：房产证满二年免征增值税，未满2年征收5.3%的税，3、个税：房产证满五唯一，免收个税，满五不唯一收1%的税。",荆川公园 清潭菜场 华联， 新怡华，中国银行 建设银行 海王星辰药店 三鲜美食城等,,,,,,,,,,,
1133,房空间大，户型方正视眼开阔，采光好明亮,125万,9287,钟楼区永红,金谷花园,3室2厅1厨2卫,中楼层 (共5层),134.6㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,无,暂无数据,2023-05-17,商品房,2019-05-30,普通住宅,暂无数据,共有,有抵押,已上传房本照片,小区介绍： 此小区成熟小区。区内有大型运动健身器材，楼下有公园，门口就是公交站,荆川公园，大润发，门口BAT站台，共享单车。花园菜场，生活方便设施全.,,,"税费解析：
税费解析： 税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,042424061954,房空间大，户型方正视眼开阔，采光好明亮,,,,,,,,
1134,三房朝南，楼层好，采光充足，诚心出售,118万,11457,钟楼区永红,清潭五村续建小区,3室2厅1厨1卫,低楼层 (共6层),103㎡,暂无数据,暂无数据,板塔结合,南,砖混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-15,商品房,2017-03-28,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,三房朝南，楼层好，采光充足，诚心出售，配备设施齐全,小区环境优美，配套齐全，居民和谐，交通配套成熟，出行便利，小区安保物业负责，有公园，医院，商场,,目前契税政策: 首套:90平米以下1%，90平米以上1.5% 二套: 90平米以下1%，90平米以上2% 三套及以上:3% 增值税: 满2年免征/不满2年:5.3% 个人所得税: 满5年并且是唯一住房可以免征，其他情况均为全额的1%,清潭教育，市区板块，配套成熟，出行便利。清潭教育，市区板块，配套成熟，出行便利。,,,,,,,,,,,
1135,陈渡新苑品牌精装 户型方正 业主诚心出售 欢迎咨询,175万,14322,钟楼区永红,陈渡新苑,3室2厅1厨2卫,低楼层 (共6层),122.19㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,有,暂无数据,2023-05-31,商品房,2019-12-05,普通住宅,暂无数据,共有,有抵押,已上传房本照片,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,陈渡新苑品牌精装未曾入住，地暖清风一应俱全，业主诚心出售，看房方便，欢迎咨询,,,042445231450,南北通风 格局好 成熟社区 配套齐全 交通便利,,,,,,,,
1136,方圆云山诗意 3室2厅 南 西南,195万,13198,钟楼区永红,方圆云山诗意,3室2厅1厨2卫,高楼层 (共27层),147.75㎡,暂无数据,115.7㎡,板塔结合,南 西南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-10-13,商品房,2012-06-09,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,,
1137,城市中央美居，精装修大户型，5房3卫，房东诚意出售！,396万,21064,钟楼区永红,城市中央美居,5室2厅1厨3卫,中楼层 (共23层),188㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2022-09-07,商品房,2020-09-09,普通住宅,暂无数据,共有,有抵押 200万元,已上传房本照片,此房户型格局好，楼层好、视野宽阔、采光充足，开发商统一精装修,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,开发商统一精装修， 装修清爽 干净整齐 品牌装修 环境优雅 拎包即住,,,,,
1138,路劲雅居乐国仕九礼.........,240万,22428,钟楼区永红,路劲雅居乐国仕九礼,3室2厅1厨2卫,低楼层 (共19层),107.01㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-04-26,商品房,2021-08-11,普通住宅,暂无数据,非共有,有抵押 100万元,已上传房本照片,三房两卫，楼层佳，视野开阔，采光足，拎包入住,路劲地产集团成立于2003年，位列外资房地产开发企业第1名、全国房企30强。 交付时间：2021年8月的新房，毛坯交付。 产品类型：总高6层的花园洋房，少量高层，典型的新一代住宅。 小区优势：品质物业服务，优质公共资源，生活便利，闹中取静。,,"契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证未满5年，缴税成交价的1%。",,,,,,,,,,,,
1139,透格局好，采光好，交通便利配套好，小区环境好的,120万,11048,天宁区永红,世纪华城,2室2厅1厨1卫,中楼层 (共25层),108.62㎡,暂无数据,85.63㎡,板楼,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-06-05,商品房,2009-11-17,普通住宅,暂无数据,共有,无抵押,已上传房本照片,开发商是常州华强房地产开发有限公司 ，物业费0.65每平米，小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场,小区距离弘阳广场350米 距离兰陵欧尚3公里，距离荆川公园2.1公里，距离九州新世界4公里，常州第三人民医院2.8公里,,,"税费解析： 税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,022447848438,透格局好，采光好，交通便利配套好，小区环境好的,,,,,,,,
1140,城市中央美居，精装修大户型，5房3卫，房东诚意出售！,396万,21064,钟楼区永红,城市中央美居,5室2厅1厨3卫,中楼层 (共23层),188㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2022-09-07,商品房,2020-09-09,普通住宅,暂无数据,共有,有抵押 200万元,已上传房本照片,此房户型格局好，楼层好、视野宽阔、采光充足，开发商统一精装修,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,开发商统一精装修， 装修清爽 干净整齐 品牌装修 环境优雅 拎包即住,,,,,
1141,清潭板块 西环路6号 3房 诚心出售,100万,10494,钟楼区永红,西环路6号,3室2厅1厨1卫,高楼层 (共6层),95.3㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-09-27,商品房,2015-09-17,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,清潭板块 西环路6号 3房 诚心出售,,,,荆川公园，清潭院街，清潭西路餐饮街，弘阳广场等成熟配套，一应俱全,清潭路贯穿常州东西，长江路贯穿常州南北，龙江路高架通达常州全城。,,,,,,,,,,
1142,采光充足，环境优美，闹中取静 看房方便,135万,10750,钟楼区永红,紫荆苑(钟楼区),3室2厅1厨1卫,低楼层 (共6层),125.59㎡,暂无数据,暂无数据,板楼,南,砖混结构,精装,暂无数据,无,暂无数据,2023-11-16,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,优质户型 ，通透格局，实用率大，房东诚心出售,小区环境优美，舒适安静，适宜居住，出门有公交，菜场，银行，美食等，生活配套齐全。,,： 契税：90平米以下成交价1%，90平米以上成交价的1.5%，二套房90平米以上成交价的2%，三套房成交价的3%，2、增值税：房产证满二年免征增值税，未满2年征收5.3%的税，3、个税：房产证满五唯一，免收个税，满五不唯一收1%的税。,荆川公园 清潭菜场 华联， 新怡华，中国银行 建设银行 海王星辰药店 三鲜美食城等,,,,,,,,,,,
1143,满五唯一， 精装三房，卫浴全明，楼层佳，采光无忧,116.8万,11612,钟楼区永红,绿园,3室2厅1厨1卫,中楼层 (共6层),100.59㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-10-10,商品房,2017-09-20,普通住宅,暂无数据,共有,无抵押,已上传房本照片,满五唯一， 精装三房，卫浴全明，楼层佳，采光无忧,,户型方正，格局分布合理，空间感好，通透性强，居住舒适 2、楼层佳，采光好，南北朝向，采光充足。3、小区环境优美，内有健身器材和娱乐广场，物业服务态度好,首套房90平米以下1%，90平米以下1.5%；二套房90平米以下1%，90平米以上2%。3套及以上不论面积统一3% 2：增值税：满两年免征。不满两年5.3% 3：个人所得税：除满五唯一免征外，其他均按全额的1%征收。,,,,,,,,小区地理位置佳，绿化好，居民素质高，小区有健身器材，活动场所。建有地下停车位，车位充足，二十四小时保安巡逻，菜场，商场，银行等配套设施齐全，生活方便快捷，交通便利,,,,
1144,业主诚心出售4楼精装大三房，采光无遮挡，拎包即住,150万,12759,钟楼区永红,蓝色星空,3室2厅1厨1卫,中楼层 (共6层),117.57㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-10-14,商品房,2018-06-12,普通住宅,暂无数据,非共有,有抵押 55万元,已上传房本照片,此房满五唯一，视野宽阔，采光充足，配套设施齐..,小区环境优美，配套齐全，居民素质高，交通配套成熟，出行便利，小区安保物业负责，有公园，医院，商场……,,,成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。,小区边有助力脚踏车，多路公交车站台，贯通龙城南北，出行便捷 ，离市区和九州商圈距离较短。,,,业主诚心出售，房屋产权清晰，证件齐全，预约看房，看中价格可以商量。,,,,,,,
1145,怀德路 中式园林风格小区 两梯三户 中间楼层 高得房率,128万,10341,钟楼区永红,方圆云山诗意,3室2厅1厨2卫,低楼层 (共19层),123.79㎡,暂无数据,92.98㎡,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-02-07,商品房,2010-10-26,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"小区介绍：
方圆·云山诗意共分二期开发。由南到北划分：画舫居、琴韵居、诗意居、棋乐居，共15栋小高层住宅，户型设计合理，包括：88-115㎡两房两厅一卫、138-142㎡三房两厅两卫、190-200㎡四房两厅两卫，项目共配置地下停车位994个。","户型介绍：
此房属于板塔结合建筑形式，两梯三户，得房率高，双开间朝南（阳光进深设计），南阳台设计（主阳台实用面积7平），动静分离（功能间独立互不打扰，不拥挤），让通风更通风。","费解析：
1、契税：首套房，成交价的1.5％, 二套房，成交价的2%。 2、个税：（产证满五年且是房主在本市唯一一套住房，免收个税）此房产证满5年，但非房主在本市唯一一套住房，缴税成交价的1%。",,,,042467470638,怀德路 中式园林风格小区 两梯三户 中间楼层 高得房率,,,,,,,,
1146,4房2卫，东边户，户型方正，采光无遮挡，诚心出售,160万,11139,钟楼区永红,蓝色星空,4室2厅1厨2卫,低楼层 (共6层),143.65㎡,暂无数据,143.65㎡,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-04-28,商品房,2004-10-27,普通住宅,暂无数据,共有,无抵押,已上传房本照片,三房朝南，东边户，户型方正，采光无遮挡，诚心出售,小区配套齐全，交通配套成熟，出行便利，小区安保物业负责，有公园，医院，商场， 等等,,,,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适. 厨房设施齐全，家用电器设施齐全,,,,,
1147,国仕九礼花园洋房228平方带露台客厅挑高6.2米可隔二层,680万,29703,钟楼区永红,路劲雅居乐国仕九礼,5室2厅1厨3卫,高楼层 (共6层),228.94㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-18,商品房,2021-08-12,普通住宅,暂无数据,非共有,有抵押 100万元 业主自还,已上传房本照片,花园洋房总高7层.6.7外带阁楼。使用面积约300平方左右大露台,,,客户契税，首套房，90平方以下成交价的百1，90平以上成交价1.5.2套房以上成交价的百3，增值税产证满二年免收增值税，末满二年征收百5.6，个税产证满五年而且是一套房免个税同样满五年成交价的百1,,,,,业主因房子有多套，房屋目 前空置，毛坯房，有钥匙，三个地下产权车位,房东有贷款，产权清晰，交易透明，业主诚心卖房子多，孩子在异地城市工作,,,,,,
1148,方圆云山诗意 3室2厅 南 西南,195万,13198,钟楼区永红,方圆云山诗意,3室2厅1厨2卫,高楼层 (共27层),147.75㎡,暂无数据,115.7㎡,板塔结合,南 西南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-10-13,商品房,2012-06-09,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,,
1149,精装修优质户型 路劲万象 三房采光好位置佳,260万,20037,钟楼区永红,路劲雅居乐城市万象,3室2厅1厨2卫,中楼层 (共18层),129.76㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,两梯两户,有,暂无数据,2022-10-07,商品房,2021-06-16,普通住宅,暂无数据,共有,无抵押,已上传房本照片,户型三房两卫，刚刚装修好，适合拎包入住。,,,,,,,,"售房原因，孩子上学比较远，就不准备住在这里了。
装修已经完工，施工用料讲究品质好。",没有抵押贷款，交易流程简洁。房东对首付额度没有要求，正常首付就可以了。,,适宜：有较高居住品质要求的客户，装修质量较高。也适合新婚家庭，做婚房合适，节省装修的时间精力。,,,,
1150,新上顶复，楼间距宽，实用面积大，大露台，业主诚售,220万,11321,钟楼区永红,荣亨逸都,5室3厅1厨3卫,高楼层 (共17层),194.34㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,暂无数据,2023-04-23,商品房,2021-06-11,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强。,小区环境优美，配套齐全，居民素质高，交通配套成熟，出行便利，小区安保物业负责，有公园，医院，商场……,"1.户型周正，格局分布合理，空间感好，通透性强，居住舒适；2.楼层佳，南北朝向，视野开阔，采光通透。
房子复式楼房，格局好，南北通风户型，全天采光，户型方正视野好，干湿分离，明厨明卫。",,,,,,业主诚心出售，房屋产权清晰，证件齐全，预约看房，看中价格可以商量。,,,,,,,
