,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,装修描述,周边配套,交通出行,户型介绍,售房详情,权属抵押,别墅类型,适宜人群,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格
684,低总价！精装房！拎包可住！靠运河宜居,113万,16473,武进区兰陵街道,外滩壹号花园,1室1厅1厨1卫,中楼层 (共34层),68.6㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-09-15,商品房,2023-05-11,普通住宅,未满两年,共有,无抵押,已上传房本照片,小区绿化好，靠运河风景好视野好，很宜居,"小区生活实施齐全，商场，菜市场，银行等。
2：小区内有健身器材，小型篮球场，可供小区居民使用。3：小区停车位充足，建有地面临时停车位以及底下停车位。4：小区内24小时保安巡逻
税费解析","首套房，90平米以下成交价的1%,90平米以上成交价的1.5%，二套房90平以上成交价的2%,
2、增值税：产证满2年免收增值税，未满2年征收5.6%;3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发房主自荐（业主对房源的描述）,,,,,,,,,,,
685,全新装修未入住，采光无遮挡，业主诚心出，价格可小刀,125万,13158,武进区兰陵街道,绿园爱舍南区,2室1厅1厨1卫,低楼层 (共11层),95㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯两户,有,暂无数据,2021-06-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,全新装修未入住，采光无遮挡，业主诚心出，价格可小刀,小区地理位置佳，绿化，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24保安巡逻。靠天街近，交通便利 门口地铁 公交车站,首套房＜90平1％、 ＞90平 1.5％ 2.二套房 ＜90平1％、 ＞90平2％ 3.三套房不论面积统一3％. 4.满二年不论面积全免、不满二年收全额的5.6％、 5.个人所得税：满二1％、 满五且wei一免个人所得税,,,,通透性好 户型方正 明厨明卫 动静分离 有观景飘窗采光很好，中间楼层 采光好,,,,,,,,,
686,弘阳上城 毛坯 三开间朝南 随心DIY 有钥匙,130万,15300,天宁区兰陵街道,弘阳上城,2室1厅1厨1卫,低楼层 (共33层),84.97㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,有,暂无数据,2022-03-18,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,核 心卖点：楼层好，采光佳，户型方正，看房方便~,,"税费解析：税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,售房详情：业主现诚心出售，证件齐，欢迎看房，随时恭候，，，，，,权属抵押：此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
687,弘阳广场旁，次新小区，弘阳物业高品质,138万,17346,天宁区兰陵街道,弘阳上城,2室1厅1厨1卫,低楼层 (共32层),79.56㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2022-03-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,弘阳广场旁，次新小区，弘阳物业高品质,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,"业主人友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,成熟小区管理",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
688,此房户型方正，通透明亮，阳台视野宽阔，采光很好,170万,20119,天宁区兰陵街道,国泰名都,2室2厅1厨1卫,低楼层 (共28层),84.5㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,有,暂无数据,2021-08-31,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 10,未上传房本照片,此房户型方正，通透明亮，阳台视野宽阔，采光很好,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%",,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2.楼层佳，南北朝向，视野开阔，采光通透。,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商。,,,,,,,,
689,工人新村南区采光好户型方正价格诚意,63.8万,10353,天宁区兰陵街道,工人新村南,2室1厅1厨1卫,中楼层 (共6层),61.63㎡,平层,暂无数据,板塔结合,南,砖混结构,简装,暂无数据,暂无数据,暂无数据,2023-10-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五不唯一 户型方正 楼层好 采光好 生活配套全 交通方便,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,公交车站就在楼下 菜市场 购物方便，九洲新世界 就在旁边，步行即可到达 适合居家生活的小区,,,,此房产权清晰 夫妻共有产权 无抵押 随时可过户 房东诚心出售,,,,,,,
690,工人新村南2楼。房东诚心出售，看房方便,85万,12006,天宁区兰陵街道,工人新村南,2室1厅1厨0卫,低楼层 (共6层),70.8㎡,平层,暂无数据,板塔结合,南,砖混结构,精装,暂无数据,无,暂无数据,2023-08-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 40万元,未上传房本照片,格局亮堂，2楼低楼层方便，房东诚心卖，看房方便,,契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%； 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%,,,,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可..,此房无抵押，无查封，产权清晰，可以立即过户。房东诚心出售，价钱可谈,,,,,,,
691,楼层好，日照采光充足，视野宽阔，户型方正，精装修,130万,15477,天宁区兰陵街道,世纪华城二期,2室2厅1厨1卫,高楼层 (共33层),84㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯三户,有,暂无数据,2021-10-01,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,楼层好，日照采光充足，视野宽阔，户型方正，精装修,1.小区生活实施齐全，商场，菜市场，银行等； 2：小区内有健身器材、小型篮球场，可供小区居民使用； 3：小区停车位充足，建有地面临时停车位以及底下停车位；4：小区内24小时保安巡逻。,税费解析： 1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%,,配套齐全，三公里范围内有清潭菜市场。出小区门口就是弘扬广场，广场已经全面投入使用。肯德基、麦当劳、星巴克、一应俱全,,,,,,,,,,,
692,真实房源，环境优美，楼间开阔，居住舒适性高。,70万,10295,天宁区兰陵街道,工人新村南,2室1厅1厨1卫,高楼层 (共5层),68㎡,跃层,暂无数据,板塔结合,南,砖混结构,简装,暂无数据,无,暂无数据,2022-02-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房源为本小区实在房源，环境优美，楼间开阔，居住舒适性高。,小区生活设施齐，商场、菜市场、银行等，交通便捷，采光充足，后院可停车,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%。",,九洲新世界成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。,,,,,,,,,,,
693,诚心出售，简装两房，看房方便.,42万,7224,天宁区兰陵街道,浦北新村,2室2厅1厨1卫,高楼层 (共6层),58.14㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,无,暂无数据,2023-10-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利。,小区旁成熟社区，配套设施齐，菜场、娱乐场所、公园、银行、医院，适宜居住，让你步行就满足一切需要。,,,,小区边有助力脚踏车，多路公交车站台，贯通龙城南北，出行便捷 ，离市区和九州商圈距离较短。,,,此房无抵押，无查封，产权清晰，可以立即过户。房东诚心出售，价钱可谈。,,,,,,,
694,九州兰陵商圈 工人新村南 户型方正,160万,14286,天宁区兰陵街道,工人新村南,2室2厅1厨1卫,高楼层 (共11层),112㎡,平层,暂无数据,板塔结合,南,砖混结构,精装,暂无数据,暂无数据,暂无数据,2023-02-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,优质户型 采光好，通透格局，实用率大，交通方便。,小区内环境优美，干净整洁，楼栋分布均匀，停车位充足，适宜居住,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%,,东边吾悦广场，南大街，南边是第三医院，北边是大润发，商各种配套，荆川公园，吃喝玩乐都全,,,,,,,,,,,
695,精装修，电梯房，总价低，楼层好,100万,12196,武进区兰陵街道,翔宇文苑,2室1厅1厨1卫,高楼层 (共11层),82㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，,小区配套齐全，交通配套成熟，出行便利，小区安保物业负责                                             ，,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 房主自荐(业主对房源的描述",,,,,此房业主诚心出售产权清晰证件齐全看房方便       ，，，，,,,,,,,,
696,弘阳上城，交通方便，配套成熟，采光好。,133万,16655,天宁区兰陵街道,弘阳上城,1室1厅1厨1卫,低楼层 (共27层),79.86㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-07-13,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,装修好，保养好，楼层好，采光好。房东诚心出售，看中可谈,,契税： 1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：产证满五唯一免征 其他统一1%,,,,户型 朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明,诚心出售，价格可以再谈，欢迎看房，随时恭候本公司经过层层筛选，房东委托挂牌，诚心出售，价格以房东为主，产权清晰。无任何纠纷.放心考虑,,,,,,,,
697,房东诚心出售，采光好，生活便捷,168万,15007,天宁区兰陵街道,工人新村南,3室2厅1厨1卫,中楼层 (共11层),111.95㎡,平层,暂无数据,板塔结合,南,砖混结构,精装,暂无数据,暂无数据,暂无数据,2023-09-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房采光好，配套设施齐全，交通便捷，生活方便,1.小区生活设施齐，商场、菜市场、银行等，交通便捷，2.小区内有健身器材，,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；
2.增值税：产证满2年免收增值税，未满2年征收5.6％；
 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",,成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。,,,,,,,,,,,
698,中间楼层，两房朝南户型方正，明卫，采光无遮挡,68万,10000,天宁区兰陵街道,工人新村南,2室1厅1厨1卫,中楼层 (共5层),68㎡,平层,暂无数据,板塔结合,南,砖混结构,精装,暂无数据,无,暂无数据,2023-02-24,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,中间楼层，两房朝南户型方正，明卫，采光无遮挡,小区旁成熟社区，配套设施齐，菜场、娱乐场所、公园、银行、医院，适宜居住，让你步行就满足一切需要。,,,成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全,,,业主现诚心置换，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,,,,,,,,
699,全新精装修 五楼视野采光很好 随时看房 诚心出售,69万,11108,天宁区兰陵街道,工人新村南,2室1厅1厨1卫,高楼层 (共6层),62.12㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-09-06,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 30万元,未上传房本照片,全新精装修 五楼视野采很好常好 随时看房 诚心出售,1.小区生活设施齐，商场、菜市场、银行等，交通便捷，2.小区内有健身器材，,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。,,,,,,,,,,,
700,九州新家园2房，房东诚心出售，价格可谈,115万,13373,天宁区兰陵街道,九洲新家园,2室2厅1厨1卫,中楼层 (共32层),86㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯三户,有,暂无数据,2023-05-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,精装修景观房，户型方正，采光好，九洲新世界商圈，出行便利。,小区生活设施齐，商场、菜市场、银行等，交通便捷，2.小区内有健身器材，可供小区居民使用；3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。4.小区内24小时保安巡逻。,首套 90平以下1% 。2，首套 90平及以上1.5% 。3，二套90平以下1% 。4，二套90平及以上2% 。5，三套都是3% 个人所得税：不是满五唯一年1%,,九洲菜场 阳光MALL，九洲电脑城，九州服装城 医院：二院、三院 邮局：兰陵桥下 邮政储蓄 银行：工商银行、建设银行、交通银行 ，工作生活便利,,,,,,,,,,,
701,棕榈湾精装小户型 温馨舒适 保养好 拎包住,82万,14386,武进区兰陵街道,棕榈湾,1室1厅1厨1卫,中楼层 (共18层),57㎡,平层,暂无数据,板楼,南,框架结构,精装,两梯六户,有,暂无数据,2021-12-01,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,户型方正，精装保养好，采光好，拎包住。,,"1：契税：首套房90平米以下1%，90平米以下1.5%；二套房90平米以下1%，90平米以上2%。3套及以上不论面积统一3%
2：增值税：满两年免征。不满两年5.3%
3：个人所得税：除满五唯一免征外，其他均按全额的1%征收。",,,,1、户型方正，格局分布合理，空间感好，通透性强，居住舒适 2、楼层佳，采光好，南北朝向，采光充足。3、小区环境优美，内有健身器材和娱乐广场，物业服务态度好。,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商,,,,,,,,
702,地段好，精装二房，楼层好，诚心出售,125万,17557,天宁区兰陵街道,九洲新世界花苑,2室2厅1厨1卫,中楼层 (共25层),71.2㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有,暂无数据,2020-07-16,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 70万元 客户偿还,未上传房本照片,好地段，精装二房，楼层好，诚心出售,本小区属于品质高住宅小区 ，绿化好 出入门都有登记 安保措施好 小区管家24小时为业主服务,,此房重新装修，精装，拎包入住，装修风格好，家具，床，都是新的,综合市场，*市，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.大型商场,,,,,,,,,,,
703,小区是新型的小区，环境优雅舒适，环境清新温馨。,238万,26742,天宁区兰陵街道,九州新世界君玺,2室2厅1厨1卫,低楼层 (共33层),89㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-06-20,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 20万元 业主自还,未上传房本照片,小区是新型的小区，环境优雅舒适，环境清新温馨。,小区生活设施齐，商场、菜市场、银行等，交通便捷，2.小区内有健身器材，可供小区居民使用；3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。4.小区内24小时保安巡逻。,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",,到九洲新世界100米，到地铁一号线100米，到吾悦国际500米，到九洲农贸市场50米。,,,,,,,,,,,
704,浦北新村2房楼层好诚意出售地段好兰陵街道,50万,8562,天宁区兰陵街道,浦北新村,2室1厅1厨1卫,中楼层 (共6层),58.4㎡,平层,暂无数据,暂无数据,南 北,未知结构,简装,暂无数据,无,暂无数据,2023-02-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房位置好，视野宽阔，采光充足，配套实施齐全，交通便利,小区生活实施齐全，商场，，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足。菜市场，各类小吃一应俱全,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税,,生活设施齐：银行、菜场、商场，饮食近在咫尺，生活起居很方便。,,,,,,,,,,,
705,中层，四开朝南，户型方正，采光充足。诚心出售！,152万,19034,天宁区兰陵街道,弘阳上城,2室1厅1厨1卫,低楼层 (共27层),79.86㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2021-08-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,采光充足，中楼层，随时看房都方便。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%；
2、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,跟江理工隔个马路，南边有小区配套幼儿园，小区下面就是弘阳广场综合体。大银行也都有。,,,,,,本房适宜各年龄段人群居住，人车分流，里面有游乐场，菜场都有，下面就是弘阳广场综合体，很方便。,,,,,
706,首付40多万，弘阳上城两房两厅，简装。,120万,15083,天宁区兰陵街道,弘阳上城,2室2厅1厨1卫,低楼层 (共32层),79.56㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,暂无数据,2021-08-25,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房户型方正，规规矩矩的两室两厅一厨一卫！看房提前约。,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,1；弘阳生活广场，九州新世界，湖塘易买得商场，吾悦广场，嘉禾电影城，万达广场，2；常州第三人民医院，武进中医院，3；农业银行ATM，建设银行ATM，所处地区交通便利 地面交通有56路 23路 12路 28路 直达南大街 火车站,,"业主人友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,成熟小区管理",,,,,,,,
707,规划双DT 弘阳广场 2018年交付 两梯四户 完全无遮挡,126万,14762,天宁区兰陵街道,弘阳上城,2室2厅1厨1卫,低楼层 (共33层),85.36㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-11-28,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,规划双DT 弘阳广场 2018年交付 两梯四户 完全无遮挡,南京弘阳创立于1996年，主营业务涵盖商场运营、地产开发、物业服务等，致力于成为“受人尊敬的美好生活创造者”的综合性大型企业集团，在香港主板上市。弘阳上城是2018年交付，共19幢高层住宅，包含板楼、板塔结合、连廊板楼等建筑形式，多元丰富；物业.....,1、契税：成交价的1％ 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证未满5年，缴税成交价的1%。,,弘阳上城配套13万方城市现象级商场---弘阳广场，规划3号、4号双DT 复兴换乘站，隶属天宁区，地处中吴大道长江路交汇处，往北钟楼区芯，往南武进区芯，往东天宁区芯，往西江苏理工，三足鼎立汇聚处...,,,,,,,,,,,
708,诚心出售，随时看房，价格可谈。,59.6万,10837,天宁区兰陵街道,浦北新村,2室1厅1厨1卫,中楼层 (共6层),55㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-07-05,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,房户型方正，阳光充足，交通便利，小区门口是晋陵中路。,小区旁成熟社区，配套设施齐，菜场、娱乐场所、公园、银行、医院，适宜居住，让你步行就满足一切需要。,,,成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。,,,,,,首付不高：适合首付不多的三口之家。 医院较多，适合老人养老！,,,,,
709,乾盛兰庭精装两房，楼栋位置佳视野好，靠九洲出行方便,165万,17742,天宁区兰陵街道,兰庭,3室2厅1厨1卫,中楼层 (共28层),93㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-02-17,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房楼层好，视野宽阔，采光充足，配套实施齐全，交通便利。,小区环境优美，配套齐全，居民素质高，交通配套成熟，出行便利，小区安保物业负责，有公园，医院，商场……,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.3％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。,,,,,,,,,,,
710,出行方便，交通方便，靠市区，适宜居住，拎包入住,78万,10130,天宁区兰陵街道,浦南新村(西区),2室2厅1厨1卫,高楼层 (共6层),77㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2022-06-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强。,,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,,
711,交通方便，靠市区，适宜居住，拎包入住,110万,12533,天宁区兰陵街道,丰臣南郡,2室2厅1厨2卫,中楼层 (共26层),87.77㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2022-11-18,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,精装修，楼层好，采光好，使用面积大,,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,医疗、银行、菜场等配套完善，万达、武进吾悦、九洲新世界广场等商场便利。 医院：三院、中医院南院；银行：邮储、江南农村、工商银行； 菜场：大润发、浦南菜场！,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,,
712,70年产权住宅，低总价，诚心出售，看房方便,53万,13660,天宁区兰陵街道,江南佳园,1室1厅1厨1卫,中楼层 (共11层),38.8㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-03,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强。,"小区环境优美,舒适安静适宜居住，出门即有公交、菜场、银行、商场、美食等，人文素养好，邻里乐于助人，相处和谐。",1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,,
713,兰蕙家园    毛坯房  诚心出售  产权清晰,105万,13816,武进区兰陵街道,兰蕙佳园,2室2厅1厨1卫,中楼层 (共27层),76㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-20,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,户型格局好，优质户型，户型方正，通透明亮业主现诚.,,"1、契税：首套房，90平米以下成交价的1％。 2.90平米以上成交价的1.5％, 二套房90平以上成交价的2%。 3.增值税：产证满2年免收增值税，未满2年征收5.6％",,综合市场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄。 500米内就有地铁口、中吴大道，交通便捷。运河公园环境，闹中取静,地处交通发达地段，在常州“金腰带”中吴大道南边，和平路地铁一号线西侧，中吴大道横穿东西，链接东西高架，地铁一号线贯穿南北，链接新北，市区，武进，抵达常州任何地方都方便,,,,,,,,,,
714,精装修楼层好，采光好，户型方正，配套实施齐全。,148万,16630,天宁区兰陵街道,九洲新世界花苑,1室2厅1厨1卫,高楼层 (共33层),89㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-07-05,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 110万元 110,未上传房本照片,精装修楼层好，采光好，户型方正，配套实施齐全。,1.小区生活设施齐，商场、菜市场、银行等，交通便捷，2.小区内有健身器材，可供小区居民使用；3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。4.小区内24小时保安巡逻。,"税费解析：税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",,到九洲新世界100米，到地铁一号线100米，到吾悦国际500米，到九洲农贸市场50米。,,,,,,,,,,,
715,浦南新村 楼层好简装 看房方便有钥匙,65万,9421,天宁区兰陵街道,浦南新村(西区),2室1厅1厨1卫,低楼层 (共6层),69㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-10-07,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,浦南新村 楼层好简装 看房方便有钥匙,小区旁成熟社区，配套设施齐，菜场、娱乐场所、公园、银行、医院，适宜居住,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.3％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,位于兰陵成熟商圈，配套齐全，银行，医院，饭店，小吃，吃喝玩乐都全。,,,,,,,,,,,
716,兰陵大润发旁，兰陵商品，楼层好采光好。,138万,16708,天宁区兰陵街道,兰陵尚品花园A区,2室2厅1厨1卫,高楼层 (共11层),82.6㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,一梯两户,有,暂无数据,2023-02-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,格局好，采光好，户型方正 ，配套全，交通便利。,小区环境好，物业管理好， 小区内有儿童娱乐场，小区停车位充足，电动车充电方便，绿化高，配套全。,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。,,兰陵大润发，凤凰公园，连锁酒店，湿地公园，各大银行，各类小吃美食一应，还有在建的华润万象城，通车的一号线地铁。,,,,,,,,,,,
